"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка логина с позитивным логином и паролем","7806","Проверка логина с позитивным логином и паролем","Qase suite","2026-07-23","passed","2026-07-23","tests.ui.LoginTest","Smoke","tests.ui.LoginTest","checkLoginWithPositiveCredentials"
"Проверка создания нового тест-кейса","11122","Создание нового тест-кейса","Qase suite","2026-07-23","passed","2026-07-23","tests.ui.TestCaseTest","Smoke","tests.ui.TestCaseTest","createTestCase"
"Проверка логина с негативным логином и паролем","5558","Проверка логина с негативным логином и паролем","Qase suite","2026-07-23","passed","2026-07-23","tests.ui.LoginTest","Smoke","tests.ui.LoginTest","checkLoginWithNegativeCredentials"
"Проверка создания нового проекта","8032","Создание нового проекта","Qase suite","2026-07-23","passed","2026-07-23","tests.ui.ProjectTest","Smoke","tests.ui.ProjectTest","createProject"
"Проверка логина с негативным логином и паролем","5527","Проверка логина с негативным логином и паролем","Qase suite","2026-07-23","passed","2026-07-23","tests.ui.LoginTest","Smoke","tests.ui.LoginTest","checkLoginWithNegativeCredentials"
"Проверка создания нового Test Run","11030","Создание нового тестового запуска","Qase suite","2026-07-23","passed","2026-07-23","tests.ui.TestRunTest","Smoke","tests.ui.TestRunTest","createTestRun"
